Building,Level,CostWood,CostClay,CostIron,CostBrewery,UpgradeTime,ProdWood,ProdClay,ProdIron,ProdBrewery,WarehouseCap,GranaryCap,TrainMult,DefenseMult,CrannyCap,TradeRate,Score
Stable,6,1400,970,645,540,1h,,,,,,,1.43,,,,250
Stable,7,1960,1355,905,755,2h,,,,,,,1.52,,,,400
Stable,8,2740,1895,1265,1055,4h,,,,,,,1.62,,,,600
Stable,9,3835,2655,1770,1475,8h,,,,,,,1.72,,,,900
Stable,10,5370,3720,2480,2065,12h,,,,,,,1.82,,,,1300
Stable,11,7520,5205,3470,2895,18h,,,,,,,1.92,,,,1800
Stable,12,10530,7290,4860,4050,1d,,,,,,,2,,,,2500
Stable,13,14740,10205,6805,5670,1.5d,,,,,,,2.08,,,,3500
Stable,14,20635,14285,9525,7935,2d,,,,,,,2.15,,,,5000
Stable,15,28890,20000,13335,11110,2.5d,,,,,,,2.22,,,,7000
Stable,16,40450,28000,18670,15555,3d,,,,,,,2.28,,,,10000
Stable,17,56625,39205,26135,21780,4d,,,,,,,2.34,,,,14000
Stable,18,79280,54885,36590,30490,5d,,,,,,,2.4,,,,20000
Stable,19,110990,76840,51225,42690,7d,,,,,,,2.45,,,,28000
Stable,20,155385,107575,71715,59765,10d,,,,,,,2.5,,,,40000
Wall,1,70,90,70,30,30s,,,,,,,,1.03,,,10
Wall,2,100,125,100,40,1m,,,,,,,,1.06,,,20
Wall,3,135,175,135,60,5m,,,,,,,,1.09,,,40
Wall,4,190,245,190,80,15m,,,,,,,,1.12,,,80
Wall,5,270,345,270,115,40m,,,,,,,,1.16,,,150
Wall,6,375,485,375,160,1h,,,,,,,,1.19,,,250
Wall,7,525,680,525,225,2h,,,,,,,,1.23,,,400
Wall,8,740,950,740,315,4h,,,,,,,,1.26,,,600
Wall,9,1035,1330,1035,445,8h,,,,,,,,1.3,,,900
Wall,10,1445,1860,1445,620,12h,,,,,,,,1.34,,,1300
Wall,11,2025,2605,2025,870,18h,,,,,,,,1.38,,,1800
Wall,12,2835,3645,2835,1215,1d,,,,,,,,1.42,,,2500
Wall,13,3970,5100,3970,1700,1.5d,,,,,,,,1.46,,,3500
Wall,14,5555,7145,5555,2380,2d,,,,,,,,1.5,,,5000
Wall,15,7780,10000,7780,3335,2.5d,,,,,,,,1.54,,,7000
Wall,16,10890,14000,10890,4665,3d,,,,,,,,1.58,,,10000
Wall,17,15245,19600,15245,6535,4d,,,,,,,,1.63,,,14000
Wall,18,21345,27440,21345,9145,5d,,,,,,,,1.67,,,20000
Wall,19,29880,38420,29880,12805,7d,,,,,,,,1.72,,,28000
Wall,20,41835,53785,41835,17930,10d,,,,,,,,1.78,,,40000
Cranny,1,40,50,30,20,30s,,,,,,,,,500,,10
Cranny,2,55,70,40,30,1m,,,,,,,,,700,,20
Cranny,3,80,100,60,40,5m,,,,,,,,,1000,,40
Cranny,4,110,135,80,55,15m,,,,,,,,,1400,,80
Cranny,5,155,190,115,75,40m,,,,,,,,,1900,,150
Cranny,6,215,270,160,110,1h,,,,,,,,,2500,,250
Cranny,7,300,375,225,150,2h,,,,,,,,,3200,,400
Cranny,8,420,525,315,210,4h,,,,,,,,,4000,,600
Cranny,9,590,740,445,295,8h,,,,,,,,,5000,,900
Cranny,10,825,1035,620,415,12h,,,,,,,,,6000,,1300
Cranny,11,1155,1445,870,580,18h,,,,,,,,,7500,,1800
Cranny,12,1620,2025,1215,810,1d,,,,,,,,,9000,,2500
Cranny,13,2270,2835,1700,1135,1.5d,,,,,,,,,11000,,3500
Cranny,14,3175,3970,2380,1585,2d,,,,,,,,,13000,,5000
Cranny,15,4445,5555,3335,2220,2.5d,,,,,,,,,15000,,7000
Cranny,16,6225,7780,4665,3110,3d,,,,,,,,,17000,,10000
Cranny,17,8710,10890,6535,4355,4d,,,,,,,,,19000,,14000
Cranny,18,12195,15245,9145,6100,5d,,,,,,,,,21000,,20000
Cranny,19,17075,21345,12805,8540,7d,,,,,,,,,23000,,28000
Cranny,20,23905,29880,17930,11955,10d,,,,,,,,,25000,,40000
TradePost,1,180,160,140,80,30s,,,,,,,,,,0.50,10
TradePost,2,250,225,195,110,1m,,,,,,,,,,0.55,20
TradePost,3,355,315,275,155,5m,,,,,,,,,,0.59,40
TradePost,4,495,440,385,220,15m,,,,,,,,,,0.63,80
TradePost,5,690,615,540,305,40m,,,,,,,,,,0.67,150
TradePost,6,970,860,755,430,1h,,,,,,,,,,0.71,250
TradePost,7,1355,1205,1055,600,2h,,,,,,,,,,0.74,400
TradePost,8,1895,1685,1475,845,4h,,,,,,,,,,0.77,600
TradePost,9,2655,2360,2065,1180,8h,,,,,,,,,,0.80,900
TradePost,10,3720,3305,2895,1655,12h,,,,,,,,,,0.83,1300
TradePost,11,5205,4630,4050,2315,18h,,,,,,,,,,0.86,1800
TradePost,12,7290,6480,5670,3240,1d,,,,,,,,,,0.88,2500
TradePost,13,10205,9070,7935,4535,1.5d,,,,,,,,,,0.90,3500
TradePost,14,14285,12700,11110,6350,2d,,,,,,,,,,0.92,5000
TradePost,15,20000,17780,15555,8890,2.5d,,,,,,,,,,0.94,7000
TradePost,16,28000,24890,21780,12445,3d,,,,,,,,,,0.95,10000
TradePost,17,39205,34845,30490,17425,4d,,,,,,,,,,0.96,14000
TradePost,18,54885,48785,42690,24395,5d,,,,,,,,,,0.97,20000
TradePost,19,76840,68300,59765,34150,7d,,,,,,,,,,0.99,28000
TradePost,20,107575,95620,83670,47810,10d,,,,,,,,,,1.00,40000
