Building,Level,CostWood,CostClay,CostIron,CostBrewery,UpgradeTime,ProdWood,ProdClay,ProdIron,ProdBrewery,WarehouseCap,GranaryCap,TrainMult,DefenseMult,CrannyCap,TradeRate,BuildSpeed,AttackMultInf,AttackMultCav,TrainMultInf,TrainMultCav,Score
ClayPit,2,55,27,35,42,30s,,36,,,,,,,,,,,,,,20
ClayPit,3,77,40,50,60,2.5m,,60,,,,,,,,,,,,,,40
ClayPit,4,110,55,67,82,7.5m,,88,,,,,,,,,,,,,,80
ClayPit,5,152,77,95,115,20m,,132,,,,,,,,,,,,,,150
ClayPit,6,215,107,135,162,30m,,176,,,,,,,,,,,,,,250
ClayPit,7,300,150,187,225,1h,,236,,,,,,,,,,,,,,400
ClayPit,8,422,210,262,315,2h,,312,,,,,,,,,,,,,,600
ClayPit,9,590,295,370,442,4h,,416,,,,,,,,,,,,,,900
ClayPit,10,827,412,517,620,6h,,552,,,,,,,,,,,,,,1300
ClayPit,11,1157,577,722,867,9h,,736,,,,,,,,,,,,,,1800
ClayPit,12,1620,810,1012,1215,12h,,980,,,,,,,,,,,,,,2500
ClayPit,13,2267,1135,1417,1700,18h,,1304,,,,,,,,,,,,,,3500
ClayPit,14,3175,1587,1985,2380,1d,,1732,,,,,,,,,,,,,,5000
ClayPit,15,4445,2222,2777,3332,1.25d,,2304,,,,,,,,,,,,,,7000
ClayPit,16,6222,3112,3890,4667,1.5d,,3064,,,,,,,,,,,,,,10000
ClayPit,17,8712,4355,5445,6535,2d,,4076,,,,,,,,,,,,,,14000
ClayPit,18,12197,6097,7622,9147,2.5d,,5420,,,,,,,,,,,,,,20000
ClayPit,19,17075,8537,10672,12807,3.5d,,7208,,,,,,,,,,,,,,28000
ClayPit,20,23905,11952,14940,17930,5d,,9588,,,,,,,,,,,,,,40000
IronMine,1,50,40,15,30,15s,,,20,,,,,,,,,,,,,10
IronMine,2,70,55,20,42,30s,,,36,,,,,,,,,,,,,20
IronMine,3,97,77,30,60,2.5m,,,60,,,,,,,,,,,,,40
IronMine,4,137,110,40,82,7.5m,,,88,,,,,,,,,,,,,80
IronMine,5,192,152,57,115,20m,,,132,,,,,,,,,,,,,150
IronMine,6,270,215,80,162,30m,,,176,,,,,,,,,,,,,250
IronMine,7,377,300,112,225,1h,,,236,,,,,,,,,,,,,400
IronMine,8,527,422,157,315,2h,,,312,,,,,,,,,,,,,600
IronMine,9,737,590,222,442,4h,,,416,,,,,,,,,,,,,900
IronMine,10,1032,827,310,620,6h,,,552,,,,,,,,,,,,,1300
IronMine,11,1447,1157,435,867,9h,,,736,,,,,,,,,,,,,1800
IronMine,12,2025,1620,607,1215,12h,,,980,,,,,,,,,,,,,2500
IronMine,13,2835,2267,850,1700,18h,,,1304,,,,,,,,,,,,,3500
IronMine,14,3967,3175,1190,2380,1d,,,1732,,,,,,,,,,,,,5000
IronMine,15,5555,4445,1667,3332,1.25d,,,2304,,,,,,,,,,,,,7000
IronMine,16,7777,6222,2332,4667,1.5d,,,3064,,,,,,,,,,,,,10000
IronMine,17,10890,8712,3267,6535,2d,,,4076,,,,,,,,,,,,,14000
IronMine,18,15245,12197,4572,9147,2.5d,,,5420,,,,,,,,,,,,,20000
IronMine,19,21345,17075,6402,12807,3.5d,,,7208,,,,,,,,,,,,,28000
IronMine,20,29882,23905,8965,17930,5d,,,9588,,,,,,,,,,,,,40000
Brewery,1,35,45,35,10,15s,,,,32,,,,,,,,,,,,10
Brewery,2,50,62,50,15,30s,,,,56,,,,,,,,,,,,20
Brewery,3,67,87,67,20,2.5m,,,,92,,,,,,,,,,,,40
Brewery,4,95,122,95,27,7.5m,,,,132,,,,,,,,,,,,80
Brewery,5,135,172,135,37,20m,,,,200,,,,,,,,,,,,150
Brewery,6,187,242,187,55,30m,,,,264,,,,,,,,,,,,250
Brewery,7,262,340,262,75,1h,,,,356,,,,,,,,,,,,400
Brewery,8,370,475,370,105,2h,,,,468,,,,,,,,,,,,600
Brewery,9,517,665,517,147,4h,,,,624,,,,,,,,,,,,900
Brewery,10,722,930,722,207,6h,,,,828,,,,,,,,,,,,1300
Brewery,11,1012,1302,1012,290,9h,,,,1104,,,,,,,,,,,,1800
Brewery,12,1417,1822,1417,405,12h,,,,1472,,,,,,,,,,,,2500
Brewery,13,1985,2550,1985,567,18h,,,,1956,,,,,,,,,,,,3500
Brewery,14,2777,3572,2777,792,1d,,,,2600,,,,,,,,,,,,5000
Brewery,15,3890,5000,3890,1110,1.25d,,,,3456,,,,,,,,,,,,7000
Brewery,16,5445,7000,5445,1555,1.5d,,,,4596,,,,,,,,,,,,10000
Brewery,17,7622,9800,7622,2177,2d,,,,6116,,,,,,,,,,,,14000
Brewery,18,10672,13720,10672,3050,2.5d,,,,8132,,,,,,,,,,,,20000
Brewery,19,14940,19210,14940,4270,3.5d,,,,10812,,,,,,,,,,,,28000
Brewery,20,20917,26892,20917,5977,5d,,,,14384,,,,,,,,,,,,40000
Warehouse,1,65,80,45,20,30s,,,,,1200,,,,,,,,,,,10
Warehouse,2,90,112,62,27,1m,,,,,1800,,,,,,,,,,,20
Warehouse,3,127,157,87,40,5m,,,,,2550,,,,,,,,,,,40
Warehouse,4,177,220,122,55,15m,,,,,3600,,,,,,,,,,,80
Warehouse,5,250,307,172,77,40m,,,,,4950,,,,,,,,,,,150
Warehouse,6,350,430,242,107,1h,,,,,6600,,,,,,,,,,,250
Warehouse,7,490,602,340,150,2h,,,,,8700,,,,,,,,,,,400
Warehouse,8,685,842,475,210,4h,,,,,11250,,,,,,,,,,,600
Warehouse,9,960,1180,665,295,8h,,,,,14400,,,,,,,,,,,900
Warehouse,10,1342,1652,930,412,12h,,,,,18000,,,,,,,,,,,1300
Warehouse,11,1880,2315,1302,577,18h,,,,,23250,,,,,,,,,,,1800
Warehouse,12,2632,3240,1822,810,1d,,,,,30000,,,,,,,,,,,2500
Warehouse,13,3685,4535,2550,1135,1.5d,,,,,38250,,,,,,,,,,,3500
Warehouse,14,5160,6350,3572,1587,2d,,,,,48000,,,,,,,,,,,5000
Warehouse,15,7222,8890,5000,2222,2.5d,,,,,60000,,,,,,,,,,,7000
Warehouse,16,10112,12445,7000,3112,3d,,,,,75000,,,,,,,,,,,10000
Warehouse,17,14157,17422,9800,4355,4d,,,,,93000,,,,,,,,,,,14000
Warehouse,18,19820,24392,13720,6097,5d,,,,,114000,,,,,,,,,,,20000
Warehouse,19,27747,34150,19210,8537,7d,,,,,138000,,,,,,,,,,,28000
Warehouse,20,38845,47810,26892,11952,10d,,,,,165000,,,,,,,,,,,40000
Granary,1,40,50,35,10,30s,,,,,,800,,,,,,,,,,10
Granary,2,55,70,50,15,1m,,,,,,1200,,,,,,,,,,20
Granary,3,77,97,67,20,5m,,,,,,1700,,,,,,,,,,40
Granary,4,110,137,95,27,15m,,,,,,2400,,,,,,,,,,80
Granary,5,152,192,135,37,40m,,,,,,3300,,,,,,,,,,150
Granary,6,215,270,187,55,1h,,,,,,4400,,,,,,,,,,250
Granary,7,300,377,262,75,2h,,,,,,5800,,,,,,,,,,400
Granary,8,422,527,370,105,4h,,,,,,7500,,,,,,,,,,600
Granary,9,590,737,517,147,8h,,,,,,9600,,,,,,,,,,900
Granary,10,827,1032,722,207,12h,,,,,,12000,,,,,,,,,,1300
Granary,11,1157,1447,1012,290,18h,,,,,,15500,,,,,,,,,,1800
Granary,12,1620,2025,1417,405,1d,,,,,,20000,,,,,,,,,,2500
Granary,13,2267,2835,1985,567,1.5d,,,,,,25500,,,,,,,,,,3500
Granary,14,3175,3967,2777,792,2d,,,,,,32000,,,,,,,,,,5000
Granary,15,4445,5555,3890,1110,2.5d,,,,,,40000,,,,,,,,,,7000
Granary,16,6222,7777,5445,1555,3d,,,,,,50000,,,,,,,,,,10000
Granary,17,8712,10890,7622,2177,4d,,,,,,62000,,,,,,,,,,14000
Granary,18,12197,15245,10672,3050,5d,,,,,,76000,,,,,,,,,,20000
Granary,19,17075,21345,14940,4270,7d,,,,,,92000,,,,,,,,,,28000
Granary,20,23905,29882,20917,5977,10d,,,,,,110000,,,,,,,,,,40000
Barracks,1,100,75,40,50,30s,,,,,,,1,,,,,1,,1,,10
Barracks,2,140,105,55,70,1m,,,,,,,1.08,,,,,1.08,,1.08,,20
Barracks,3,195,147,77,97,5m,,,,,,,1.16,,,,,1.16,,1.16,,40
Barracks,4,275,205,110,137,15m,,,,,,,1.25,,,,,1.25,,1.25,,80
Barracks,5,385,287,152,192,40m,,,,,,,1.34,,,,,1.34,,1.34,,150
Barracks,6,537,402,215,270,1h,,,,,,,1.43,,,,,1.43,,1.43,,250
Barracks,7,752,565,300,377,2h,,,,,,,1.52,,,,,1.52,,1.52,,400
Barracks,8,1055,790,422,527,4h,,,,,,,1.62,,,,,1.62,,1.62,,600
Barracks,9,1475,1107,590,737,8h,,,,,,,1.72,,,,,1.72,,1.72,,900
Barracks,10,2065,1550,827,1032,12h,,,,,,,1.82,,,,,1.82,,1.82,,1300
Barracks,11,2892,2170,1157,1447,18h,,,,,,,1.92,,,,,1.92,,1.92,,1800
Barracks,12,4050,3037,1620,2025,1d,,,,,,,2,,,,,2,,2,,2500
Barracks,13,5670,4252,2267,2835,1.5d,,,,,,,2.08,,,,,2.08,,2.08,,3500
Barracks,14,7937,5952,3175,3967,2d,,,,,,,2.15,,,,,2.15,,2.15,,5000
Barracks,15,11112,8335,4445,5555,2.5d,,,,,,,2.22,,,,,2.22,,2.22,,7000
Barracks,16,15557,11667,6222,7777,3d,,,,,,,2.28,,,,,2.28,,2.28,,10000
Barracks,17,21780,16335,8712,10890,4d,,,,,,,2.34,,,,,2.34,,2.34,,14000
Barracks,18,30492,22867,12197,15245,5d,,,,,,,2.4,,,,,2.4,,2.4,,20000
Barracks,19,42687,32015,17075,21345,7d,,,,,,,2.45,,,,,2.45,,2.45,,28000
Barracks,20,59762,44822,23905,29882,10d,,,,,,,2.5,,,,,2.5,,2.5,,40000
Stable,1,130,90,60,50,30s,,,,,,,1,,,,,,1,,1,10
Stable,2,182,125,85,70,1m,,,,,,,1.08,,,,,,1.08,,1.08,20
Stable,3,255,177,117,97,5m,,,,,,,1.16,,,,,,1.16,,1.16,40
Stable,4,357,247,165,137,15m,,,,,,,1.25,,,,,,1.25,,1.25,80
Stable,5,500,345,230,192,40m,,,,,,,1.34,,,,,,1.34,,1.34,150
Stable,6,700,485,322,270,1h,,,,,,,1.43,,,,,,1.43,,1.43,250
Stable,7,980,677,452,377,2h,,,,,,,1.52,,,,,,1.52,,1.52,400
Stable,8,1370,947,632,527,4h,,,,,,,1.62,,,,,,1.62,,1.62,600
Stable,9,1917,1327,885,737,8h,,,,,,,1.72,,,,,,1.72,,1.72,900
Stable,10,2685,1860,1240,1032,12h,,,,,,,1.82,,,,,,1.82,,1.82,1300
Stable,11,3760,2602,1735,1447,18h,,,,,,,1.92,,,,,,1.92,,1.92,1800
Stable,12,5265,3645,2430,2025,1d,,,,,,,2,,,,,,2,,2,2500
Stable,13,7370,5102,3402,2835,1.5d,,,,,,,2.08,,,,,,2.08,,2.08,3500
Stable,14,10317,7142,4762,3967,2d,,,,,,,2.15,,,,,,2.15,,2.15,5000
Stable,15,14445,10000,6667,5555,2.5d,,,,,,,2.22,,,,,,2.22,,2.22,7000
Stable,16,20225,14000,9335,7777,3d,,,,,,,2.28,,,,,,2.28,,2.28,10000
Stable,17,28312,19602,13067,10890,4d,,,,,,,2.34,,,,,,2.34,,2.34,14000
Stable,18,39640,27442,18295,15245,5d,,,,,,,2.4,,,,,,2.4,,2.4,20000
Stable,19,55495,38420,25612,21345,7d,,,,,,,2.45,,,,,,2.45,,2.45,28000
Stable,20,77692,53787,35857,29882,10d,,,,,,,2.5,,,,,,2.5,,2.5,40000
Wall,1,70,90,70,30,30s,,,,,,,,1.05,,,,,,,,10
Wall,2,100,125,100,40,1m,,,,,,,,1.08,,,,,,,,20
Wall,3,135,175,135,60,5m,,,,,,,,1.16,,,,,,,,40
Wall,4,190,245,190,80,15m,,,,,,,,1.25,,,,,,,,80
Wall,5,270,345,270,115,40m,,,,,,,,1.34,,,,,,,,150
Wall,6,375,485,375,160,1h,,,,,,,,1.43,,,,,,,,250
Wall,7,525,680,525,225,2h,,,,,,,,1.52,,,,,,,,400
Wall,8,740,950,740,315,4h,,,,,,,,1.62,,,,,,,,600
Wall,9,1035,1330,1035,445,8h,,,,,,,,1.72,,,,,,,,900
Wall,10,1445,1860,1445,620,12h,,,,,,,,1.82,,,,,,,,1300
Wall,11,2025,2605,2025,870,18h,,,,,,,,1.92,,,,,,,,1800
Wall,12,2835,3645,2835,1215,1d,,,,,,,,2.0,,,,,,,,2500
Wall,13,3970,5100,3970,1700,1.5d,,,,,,,,2.08,,,,,,,,3500
Wall,14,5555,7145,5555,2380,2d,,,,,,,,2.15,,,,,,,,5000
Wall,15,7780,10000,7780,3335,2.5d,,,,,,,,2.22,,,,,,,,7000
Wall,16,10890,14000,10890,4665,3d,,,,,,,,2.28,,,,,,,,10000
Wall,17,15245,19600,15245,6535,4d,,,,,,,,2.34,,,,,,,,14000
Wall,18,21345,27440,21345,9145,5d,,,,,,,,2.4,,,,,,,,20000
Wall,19,29880,38420,29880,12805,7d,,,,,,,,2.45,,,,,,,,28000
Wall,20,41835,53785,41835,17930,10d,,,,,,,,2.5,,,,,,,,40000
Cranny,1,40,50,30,20,30s,,,,,,,,,500,,,,,,,10
Cranny,2,55,70,40,30,1m,,,,,,,,,700,,,,,,,20
Cranny,3,80,100,60,40,5m,,,,,,,,,1000,,,,,,,40
Cranny,4,110,135,80,55,15m,,,,,,,,,1400,,,,,,,80
Cranny,5,155,190,115,75,40m,,,,,,,,,1900,,,,,,,150
Cranny,6,215,270,160,110,1h,,,,,,,,,2500,,,,,,,250
Cranny,7,300,375,225,150,2h,,,,,,,,,3200,,,,,,,400
Cranny,8,420,525,315,210,4h,,,,,,,,,4000,,,,,,,600
Cranny,9,590,740,445,295,8h,,,,,,,,,5000,,,,,,,900
Cranny,10,825,1035,620,415,12h,,,,,,,,,6000,,,,,,,1300
Cranny,11,1155,1445,870,580,18h,,,,,,,,,7500,,,,,,,1800
Cranny,12,1620,2025,1215,810,1d,,,,,,,,,9000,,,,,,,2500
Cranny,13,2270,2835,1700,1135,1.5d,,,,,,,,,11000,,,,,,,3500
Cranny,14,3175,3970,2380,1585,2d,,,,,,,,,13000,,,,,,,5000
Cranny,15,4445,5555,3335,2220,2.5d,,,,,,,,,15000,,,,,,,7000
Cranny,16,6225,7780,4665,3110,3d,,,,,,,,,17000,,,,,,,10000
Cranny,17,8710,10890,6535,4355,4d,,,,,,,,,19000,,,,,,,14000
Cranny,18,12195,15245,9145,6100,5d,,,,,,,,,21000,,,,,,,20000
Cranny,19,17075,21345,12805,8540,7d,,,,,,,,,23000,,,,,,,28000
Cranny,20,23905,29880,17930,11955,10d,,,,,,,,,25000,,,,,,,40000
TradePost,1,90,80,70,40,30s,,,,,,,,,,0.70,,,,,,10
TradePost,2,175,155,135,77,5m,,,,,,,,,,0.74,,,,,,20
TradePost,3,350,310,270,155,30m,,,,,,,,,,0.78,,,,,,40
TradePost,4,700,620,540,310,2h,,,,,,,,,,0.81,,,,,,80
TradePost,5,1400,1240,1080,620,4h,,,,,,,,,,0.84,,,,,,150
TradePost,6,2800,2480,2160,1240,12h,,,,,,,,,,0.87,,,,,,250
TradePost,7,5600,4960,4320,2480,1d,,,,,,,,,,0.90,,,,,,400
TradePost,8,11200,9920,8640,4960,2d,,,,,,,,,,0.93,,,,,,600
TradePost,9,22400,19840,17280,9920,5d,,,,,,,,,,0.96,,,,,,900
TradePost,10,45000,40000,35000,20000,10d,,,,,,,,,,0.99,,,,,,1300
TownHall,1,250,200,175,100,30s,,,,,,,,,,,1.00,,,,,10
TownHall,2,400,325,280,160,5m,,,,,,,,,,,2.00,,,,,20
TownHall,3,650,525,450,255,30m,,,,,,,,,,,3.00,,,,,40
TownHall,4,1050,850,725,410,2h,,,,,,,,,,,4.00,,,,,80
TownHall,5,1700,1375,1175,655,8h,,,,,,,,,,,5.00,,,,,150
TownHall,6,2750,2200,1900,1050,12h,,,,,,,,,,,6.00,,,,,250
TownHall,7,4400,3500,3050,1680,1d,,,,,,,,,,,7.00,,,,,400
TownHall,8,7000,5600,4900,2690,2d,,,,,,,,,,,8.00,,,,,600
TownHall,9,11200,8950,7850,4300,4d,,,,,,,,,,,9.00,,,,,900
TownHall,10,17900,14300,12550,6880,8d,,,,,,,,,,,10.00,,,,,1300
